sample_idx,rtt_ms
608,0.094406
609,0.104755
610,0.107780
611,0.094287
612,0.094742
613,0.108972
614,0.094555
615,0.093274
616,0.118092
617,0.091992
618,0.094667
619,0.104763
620,0.103861
621,0.101201
622,0.108771
623,0.094093
624,0.091977
625,0.106774
626,0.094295
627,0.095002
628,0.110999
629,0.094548
630,0.108242
631,0.111349
632,0.094183
633,0.095308
634,0.112131
635,0.107318
636,0.094213
637,0.094928
638,0.102468
639,0.094377
640,0.094175
641,0.097588
642,0.094876
643,0.095710
644,0.106841
645,0.103161
646,0.094317
647,0.108935
648,0.094697
649,0.095285
650,0.110380
651,0.095360
652,0.093766
653,0.111207
654,0.092171
655,0.094689
656,0.108898
657,0.094481
658,0.094056
659,0.117682
660,0.094198
661,0.094905
662,0.107512
663,0.094138
664,0.094362
665,0.107303
666,0.093825
667,0.094503
668,0.108242
669,0.094421
670,0.094213
671,0.106819
672,0.094898
673,0.094406
674,0.113457
675,0.092804
676,0.094503
677,0.112772
678,0.094220
679,0.094816
680,0.094555
681,0.108443
682,0.092976
683,0.095129
684,0.094049
685,0.094332
686,0.094339
687,0.107475
688,0.095338
689,0.094734
690,0.107571
691,0.091925
692,0.102907
693,0.111260
694,0.094697
695,0.093989
696,0.103369
697,0.094444
698,0.093743
699,0.094309
700,0.095055
701,0.095092
702,0.106283
703,0.094622
704,0.095576
705,0.108682
706,0.094689
707,0.094876
708,0.112064
709,0.098020
710,0.094764
711,0.094853
712,0.092037
713,0.094555
714,0.112027
715,0.094965
716,0.095025
717,0.094071
718,0.094108
719,0.094503
720,0.094406
721,0.092618
722,0.094324
723,0.116624
724,0.094101
725,0.093773
726,0.123665
727,0.094421
728,0.112496
729,0.113569
730,0.108279
731,0.094540
732,0.094764
733,0.119701
734,0.095561
735,0.095055
736,0.108324
737,0.095017
738,0.094607
739,0.107005
740,0.095315
741,0.094742
742,0.107847
743,0.111178
744,0.094377
745,0.093669
746,0.094526
747,0.095591
748,0.107266
749,0.095040
750,0.104353
751,0.097960
752,0.094570
753,0.095226
754,0.104606
755,0.094615
756,0.093438
757,0.107430
758,0.092641
759,0.095323
760,0.106879
761,0.094995
762,0.094116
763,0.127725
764,0.094265
765,0.096969
766,0.107437
767,0.094399
768,0.093952
769,0.094183
770,0.109538
771,0.106804
772,0.114612
773,0.094771
774,0.094458
775,0.103012
776,0.108987
777,0.094816
778,0.094973
779,0.092104
780,0.094838
781,0.110179
782,0.094406
783,0.094898
784,0.094146
785,0.094593
786,0.094533
787,0.117488
788,0.107393
789,0.095956
790,0.095174
791,0.094548
792,0.112809
793,0.094123
794,0.094838
795,0.093766
796,0.108168
797,0.094950
798,0.095144
799,0.108182
800,0.092335
801,0.095174
802,0.108659
803,0.094853
804,0.094496
805,0.112832
806,0.114411
807,0.096671
808,0.094570
809,0.108466
810,0.094660
811,0.095315
812,0.111319
813,0.094436
814,0.106685
815,0.107028
816,0.093602
817,0.095069
818,0.105754
819,0.108905
820,0.094943
821,0.105537
822,0.107646
823,0.094369
824,0.094526
825,0.098825
826,0.095069
827,0.095062
828,0.095092
829,0.094339
830,0.093862
831,0.108376
832,0.093222
833,0.104465
834,0.105537
835,0.094838
836,0.117347
837,0.104591
838,0.094220
839,0.095837
840,0.105433
841,0.094302
842,0.094652
843,0.103772
844,0.095554
845,0.093877
846,0.108734
847,0.095204
848,0.094496
849,0.116579
850,0.095516
851,0.111081
852,0.094987
853,0.092700
854,0.094704
855,0.094250
856,0.094555
857,0.098363
858,0.117473
859,0.112996
860,0.093102
861,0.094056
862,0.107676
863,0.095285
864,0.094697
865,0.108048
866,0.094488
867,0.094771
868,0.110134
869,0.092827
870,0.094183
871,0.103869
872,0.094391
873,0.094607
874,0.121333
875,0.094287
876,0.094146
877,0.103876
878,0.094272
879,0.094771
880,0.104658
881,0.094153
882,0.094280
883,0.104934
884,0.094146
885,0.094630
886,0.104539
887,0.094883
888,0.104859
889,0.115782
890,0.096060
891,0.094302
892,0.108175
893,0.094794
894,0.095703
895,0.094503
896,0.094756
897,0.094257
898,0.109993
899,0.091471
900,0.094436
901,0.107579
902,0.094377
903,0.094920
904,0.114352
905,0.103652
906,0.091970
907,0.108689
908,0.108309
909,0.095055
910,0.108294
911,0.108749
912,0.094250
913,0.092804
914,0.106312
915,0.094779
916,0.094958
917,0.109471
918,0.094883
919,0.094272
920,0.113927
921,0.093937
922,0.094526
923,0.099979
924,0.094905
925,0.094891
926,0.112355
927,0.094265
928,0.094384
929,0.112049
930,0.094518
931,0.094347
932,0.113852
933,0.094831
934,0.094086
935,0.099599
936,0.091806
937,0.093892
938,0.113815
939,0.109024
940,0.094913
941,0.132963
942,0.108182
943,0.092804
944,0.111632
945,0.094749
946,0.094675
947,0.107504
948,0.094697
949,0.094362
950,0.122793
951,0.108689
952,0.095494
953,0.095911
954,0.110358
955,0.109181
956,0.094458
957,0.108317
958,0.095002
959,0.095554
960,0.112355
961,0.093892
962,0.093982
963,0.103816
964,0.094153
965,0.094831
966,0.106454
967,0.094533
968,0.095025
969,0.109226
970,0.094756
971,0.094794
972,0.108652
973,0.092082
974,0.115603
975,0.106752
976,0.110239
977,0.094138
978,0.119805
979,0.094444
