logical_flow,size_bytes,n_pkts,tx_first_s,tx_last_s
306,461921,308,33744457.008729883,33744457.010790028
307,402573,269,33744457.010794520,33744457.012540042
308,7484208,4990,33744457.012545019,33744457.044635192
309,47626,32,33744457.044641271,33744457.044859350
310,31057,21,33744457.044864431,33744457.044988327
311,34479,23,33744457.044992000,33744457.045148693
312,32677,22,33744457.045152634,33744457.045284264
313,3080335,2054,33744457.045292132,33744457.058262847
314,4710910,3141,33744457.058268167,33744457.078606710
315,30433,21,33744457.078612491,33744457.078758493
316,35751,24,33744457.078762315,33744457.078904897
317,96373,65,33744457.078908585,33744457.079309985
318,151902,102,33744457.079313882,33744457.079964720
319,189704,127,33744457.079969049,33744457.080809608
320,24012,17,33744457.080814540,33744457.080920324
321,1367,1,33744457.080924295,33744457.080932125
322,23882,16,33744457.080936201,33744457.081078842
323,3035,3,33744457.081082866,33744457.081102557
324,105593,71,33744457.081106044,33744457.081550665
325,2970,2,33744457.081554525,33744457.081567295
326,3168,3,33744457.081570610,33744457.081589490
327,353459,236,33744457.081592880,33744457.083078653
328,28904,20,33744457.083083093,33744457.083203033
329,1894539,1264,33744457.083206721,33744457.091387682
330,70049,47,33744457.091393113,33744457.091690704
331,3550874,2368,33744457.091694593,33744457.106690839
332,10596,8,33744457.106695995,33744457.106744304
333,72148,49,33744457.106747814,33744457.107086211
334,1931651,1288,33744457.107090034,33744457.115272865
335,3266,3,33744457.115278050,33744457.115298301
336,8140878,5428,33744457.115302049,33744457.150177702
337,13801,10,33744457.150183208,33744457.150266916
338,1695945,1131,33744457.150270857,33744457.157535799
339,17254586,11504,33744457.157540746,33744457.231096469
340,2436613,1625,33744457.231102861,33744457.241953574
341,33190,23,33744457.241959006,33744457.242165640
342,5158,4,33744457.242170170,33744457.242195264
343,75601,51,33744457.242198907,33744457.242594458
344,6056380,4038,33744457.242598973,33744457.269442320
345,29218,20,33744457.269448049,33744457.269594669
346,4722084,3149,33744457.269602992,33744457.290400863
347,8801,6,33744457.290406227,33744457.290454671
348,5546840,3698,33744457.290458664,33744457.314033307
349,1628,2,33744457.314038694,33744457.314052090
350,32566,22,33744457.314055726,33744457.314206280
351,5155264,3437,33744457.314210169,33744457.336038724
352,2071932,1382,33744457.336044237,33744457.344661705
353,5367033,3579,33744457.344667077,33744457.367849812
354,2904459,1937,33744457.367855161,33744457.380208686
